
TD Q-learning:

0 0	0 1	0 2	0 3	0 4	0 5	1 0	1 1	1 2	1 3	1 4	1 5	2 0	2 1	2 2	2 3	2 4	2 5	3 0	3 1	3 2	3 3	3 4	3 5	4 0	4 1	4 2	4 3	4 4	4 5	5 0	5 1	5 2	5 3	5 4	5 5	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.7870880329362419	-0.04	0.0	0.0	3.0	0.9002915158776971	0.8507386821133693	0.7997261303342609	0.0	0.0	0.0	0.95	0.9004513862657701	0.7983815552153334	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.7870880329362419	-0.04	0.0	0.0	3.0	0.9004810468979725	0.8512624141186558	0.8020385902954683	0.0	0.0	0.0	0.95	0.9004513862657701	0.7983815552153334	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.7870880329362419	0.7416940577813387	0.0	0.0	3.0	0.9004810468979725	0.8513585156989519	0.8027497899774692	0.0	0.0	0.0	0.95	0.9004969616416106	0.8473649249271294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.7870880329362419	0.7416940577813387	0.0	0.0	3.0	0.9004810468979725	0.8513585156989519	0.8027497899774692	0.0	0.0	0.0	0.95	0.9004969616416106	0.8473649249271294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.7870880329362419	0.7416940577813387	0.0	0.0	3.0	0.9004810468979725	0.8513585156989519	0.8020385902954683	0.0	0.0	0.0	0.95	0.9004969616416106	0.8473649249271294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.7412270746135785	0.0	0.0	-1.0	0.0	0.6670742117545633	0.7141697510292299	0.7416940577813387	0.0	0.0	3.0	0.9004810468979725	0.8514817246154834	0.8020385902954683	0.0	0.0	0.0	0.95	0.9004969616416106	0.8473649249271294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.7412270746135785	0.0	0.0	-1.0	0.0	0.6670742117545633	0.7141697510292299	0.7416940577813387	0.0	0.0	3.0	0.9004810468979725	0.8514910586243116	0.8020385902954683	0.0	0.0	0.0	0.95	0.9004969616416106	0.8473649249271294	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	
0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.7412270746135785	0.0	0.0	-1.0	0.0	0.6670742117545633	0.7141697510292299	0.7416940577813387	0.0	0.0	3.0	0.9004810468979725	0.8514918945056992	0.8020385902954683	0.0	0.0	0.0	0.95	0.9004969616416106	0.8473649249271294	0.0	0.0	0.0	1.0	-1.0	0.7719057119280592	0.0	-1.0	-1.0	
-0.04	-1.0	0.0	0.0	0.0	0.0	0.6479513786257275	0.7412270746135785	0.0	0.0	-1.0	0.0	0.6670742117545633	0.7949035915123319	0.7416940577813387	0.0	0.0	3.0	0.9004810468979725	0.8514918945056992	0.8028916678092627	0.0	0.0	0.0	0.95	0.9004969616416106	0.8473649249271294	0.0	0.0	0.0	1.0	-1.0	0.7719057119280592	0.0	-1.0	-1.0	
-0.04	-1.0	0.0	0.0	0.0	0.0	0.6479513786257275	0.7412270746135785	0.6817850529843698	0.0	-1.0	0.0	0.8436893023244134	0.7949035915123319	0.7416940577813387	0.0	0.0	3.0	0.9004980198251613	0.8514901772248209	0.8029665403256596	0.0	0.0	0.0	0.95	0.9004969616416106	0.8473649249271294	0.7851389596831391	0.0	0.0	1.0	-1.0	0.7976062488326296	0.0	-1.0	-1.0	
